id,Name,Lat,Long,Race
161,West Broadway at D Street,42.3391085,-71.0514432,Hispanic or Latino
160,Wentworth Institute of Technology,42.337596,-71.096391,White
162,Franklin Park - Seaver Street at Humbolt Ave,42.309796,-71.092225,Black
167,Ryan Playground - Dorchester Avenue Station,42.317642,-71.056664,White
163,Lawn on D,42.344792,-71.044024,White
170,Franklin Park Zoo,42.303469,-71.085347,Black
169,Edwards Playground - Main Street & Eden Street,42.378965,-71.068607,White
174,Washington St at Brock St,42.34900494405213,-71.1604106426239,White
175,Brighton Center,42.34894857235593,-71.15027189254761,Hispanic or Latino
159,Heath St at South Huntington,42.32797270205962,-71.11089706420898,White
171,Bunker Hill Community College,42.37408991426522,-71.06905996799469,White
178,MIT Pacific St at Purrington St,42.35957320109044,-71.10129475593567,White
176,Lesley University,42.38674802045056,-71.11901879310608,White
177,University Park,42.36264779118595,-71.10006093978882,White
179,MIT Vassar St,42.35560121327927,-71.10394477844238,Asian
180,Mt Auburn,42.37478628706384,-71.13320231437683,White
190,Nashua Street at Red Auerbach Way,42.36559770612416,-71.06424808502197,White
146,Day Boulevard,42.336448,-71.023739,Hispanic or Latino
189,Kendall T,42.3624278429124,-71.08495473861694,Asian
173,Savin Hill MBTA Station,42.310599,-71.053927,White
186,Congress St and Northern Ave,42.3482032222746,-71.0376513004303,White
192,Purchase St at Pearl St,42.354686,-71.053292,White
193,Brookline Village - Station Street @ MBTA,42.33289074055233,-71.11658334732056,White
194,Broadway St at Mt Pleasant St,42.38614141163957,-71.07828140258789,White
195,Brian P. Murphy Staircase at Child Street,42.3720597013741,-71.07202649116516,White
197,MLK Blvd at Washington St,42.321678,-71.091822,Black
196,Roxbury YMCA,42.317963,-71.082254,Black
200,Washington St at Melnea Cass Blvd,42.33282815812448,-71.08126938343048,Hispanic or Latino
199,Upham's Corner T Stop,42.31884382360106,-71.06975734233856,Black
153,8D OPS 03,45.505086,-73.566921,
158,8D OPS 01,0.0,0.0,
201,Walnut Ave at Crawford St,42.316873,-71.091955,Black
203,Columbia Rd at Ceylon St,42.309566,-71.072863,Black
204,Walnut Ave at Warren St,42.324069,-71.083162,Black
205,Bowdoin St at Quincy St,42.30791912678712,-71.06502056121826,Asian
202,Grove Hall Library,42.308035,-71.081159,Hispanic or Latino
183,Alewife MBTA at Steel Place,42.39558845716709,-71.14260613918304,White
207,Market St at Faneuil St,42.35480179069945,-71.15025043487549,White
208,Oak Square YMCA,42.35048161669747,-71.16636693499458,White
210,Bennington St at Byron St,42.38337841883669,-71.01612031481636,Hispanic or Latino
209,Chelsea St at Saratoga St,42.37980321246644,-71.02744817733765,Hispanic or Latino
214,Airport T Stop - Bremen St at Brooks St,42.37536686015489,-71.03135883808136,Hispanic or Latino
212,Maverick Sq - Lewis Mall,42.3688385713652,-71.03976666949166,White
213,EBNHC - 20 Maverick Sq,42.369562869377,-71.03942692279814,White
217,Orient Heights T Stop - Bennington St at Saratoga St,42.38673178529929,-71.00621223455164,Hispanic or Latino
211,Piers Park- Marginal St at East Boston Shipyard,42.36489045541549,-71.0350424052376,White
215,The Eddy at New Street,42.37078454600501,-71.04426160454749,White
216,Glendon St at Condor St,42.38244736415864,-71.0302323102951,Hispanic or Latino
218,Watermark Seaport,42.351543104723206,-71.04573011398315,White
184,Sidney Research Campus/ Erie Street at Waverly,42.35775309465199,-71.10393404960632,White
185,Third at Binney,42.36544486137399,-71.08277142047882,White
219,Central Square East Boston - Porter Street at London Street,42.37430131617823,-71.03808671246952,Hispanic or Latino
182,Museum of Science,42.36769018024484,-71.07116281986237,White
221,Verizon Innovation Hub 10 Ware Street,42.37250864997261,-71.11305356025696,White
224,Fresh Pond Reservation,42.38267827521855,-71.143478951426,White
226,Commonwealth Ave At Babcock St,42.35154734791375,-71.12126246094704,White
227,Silber Way,42.34949599514002,-71.10057592391968,White
225,Cambridge Dept. of Public Works -147 Hampshire St.,42.37119727759414,-71.09759867191315,White
229,8D QC Station 01,0.0,0.0,
230,8D QC Station 02,0.0,0.0,
228,One Memorial Drive,42.361619320766856,-71.0804355052096,Asian
164,Test 000e3,0.0,0.0,
157,Seaport Blvd at Sleeper St,42.35317809186252,-71.04817356923377,White
181,Huron Ave. At Vassal Lane,42.381650612901176,-71.13426981498378,White
222,Troy Boston,42.343749,-71.062256,White
232,Four Corners - 157 Washington St,42.30412792739016,-71.07929527759552,Black
